category,createdAt,quantity,total,Rubro,Clase,mes_año_x,PIB,IPC,IVCM_alimentos
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Aceites vegetales y grasas comestibles",2020-11-30 00:00:00+00:00,229161.0,393431484.8524251,"Alimentos, bebidas y tabaco",Aceites vegetales y grasas comestibles,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Grasas y aceites animales comestibles",2020-11-30 00:00:00+00:00,3623.0,6457499.96,"Alimentos, bebidas y tabaco",Grasas y aceites animales comestibles,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Acompañamientos preparados",2020-11-30 00:00:00+00:00,18335.0,79045660.07764573,"Alimentos, bebidas y tabaco",Acompañamientos preparados,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Bebidas y comidas infantiles",2020-11-30 00:00:00+00:00,23689.0,168779869.25199008,"Alimentos, bebidas y tabaco",Bebidas y comidas infantiles,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Empanadas, tartas y pies",2020-11-30 00:00:00+00:00,52001.0,59781938.5985,"Alimentos, bebidas y tabaco","Empanadas, tartas y pies",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Ensaladas preparadas",2020-11-30 00:00:00+00:00,13379.0,23379740.0,"Alimentos, bebidas y tabaco",Ensaladas preparadas,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2020-11-30 00:00:00+00:00,135313.0,153032491.6366089,"Alimentos, bebidas y tabaco","Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Materiales y mezclas instantáneas",2020-11-30 00:00:00+00:00,55077.0,76116085.043,"Alimentos, bebidas y tabaco",Materiales y mezclas instantáneas,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Pasta o tallarines naturales",2020-11-30 00:00:00+00:00,519056.0,468663968.5767251,"Alimentos, bebidas y tabaco",Pasta o tallarines naturales,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Platos combinados empaquetados",2020-11-30 00:00:00+00:00,250.0,842734.8,"Alimentos, bebidas y tabaco",Platos combinados empaquetados,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Postres y decoraciones",2020-11-30 00:00:00+00:00,570718.0,165876861.814456,"Alimentos, bebidas y tabaco",Postres y decoraciones,2020-11,42145.390546874,0.2,121.16527357448
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Sandwiches y panecillos con relleno",2020-11-30 00:00:00+00:00,114515.0,159798077.2956,"Alimentos, bebidas y tabaco",Sandwiches y panecillos con relleno,2020-11,42145.390546874,0.2,121.16527357448
