RubroN3,FechaCreacion,cantidad,mes_año_x,PIB,IPC,IMACEC,totalLineaNeto
Aceites vegetales y grasas comestibles,2013-01-31,379140.0,2013-01,43591.2289898859,2.9,89.847446247651,
Aceites vegetales y grasas comestibles,2013-02-28,22830.0,2013-02,43591.2289898859,2.1,91.596476733005,3898.0
Aceites vegetales y grasas comestibles,2013-03-31,24398.505,2013-03,43591.2289898859,1.5,94.690431285772,1279406.0
Aceites vegetales y grasas comestibles,2013-04-30,34715.298,2013-04,41321.580759714,1.6,86.585344235856,1125727260.0
Aceites vegetales y grasas comestibles,2013-05-31,33045.5,2013-05,41321.580759714,1.3,82.262492545453,38390577.0
Aceites vegetales y grasas comestibles,2013-06-30,59041.819,2013-06,41321.580759714,1.5,92.909133250737,56012966.0
Aceites vegetales y grasas comestibles,2013-07-31,46309.0,2013-07,42735.663530314,1.0,91.412867395764,97762452.0
Aceites vegetales y grasas comestibles,2013-08-31,33651.245,2013-08,42735.663530314,0.9,90.693410273367,60932712.0
Aceites vegetales y grasas comestibles,2013-09-30,34555.491,2013-09,42735.663530314,1.9,88.608385040724,71224558.0
Aceites vegetales y grasas comestibles,2013-10-31,36765.438,2013-10,41002.549935328,2.2,85.551891607757,100637131.0
Aceites vegetales y grasas comestibles,2013-11-30,33104.0,2013-11,41002.549935328,2.2,88.915053955516,92720377.0
Aceites vegetales y grasas comestibles,2013-12-31,44572.0,2013-12,41002.549935328,2.0,85.269081891005,58314127.0
Aceites vegetales y grasas comestibles,2014-01-31,448102.416,2014-01,44804.091313531,1.5,92.364560602323,90844024.0
Aceites vegetales y grasas comestibles,2014-02-28,24201.0,2014-02,44804.091313531,2.4,94.479713559932,66802364.0
Aceites vegetales y grasas comestibles,2014-03-31,73983.0,2014-03,44804.091313531,3.0,96.973115483759,127725703.0
Aceites vegetales y grasas comestibles,2014-04-30,48045.5,2014-04,42332.208534154,2.8,88.071444078236,1022183760.0
Aceites vegetales y grasas comestibles,2014-05-31,35922.09,2014-05,42332.208534154,3.2,84.817963581773,54734524.0
Aceites vegetales y grasas comestibles,2014-06-30,56549.0,2014-06,42332.208534154,3.5,95.269516489087,167124429.0
Aceites vegetales y grasas comestibles,2014-07-31,36489.371,2014-07,43459.588462873,4.3,92.842851105848,112799253.0
Aceites vegetales y grasas comestibles,2014-08-31,131413.5,2014-08,43459.588462873,4.7,92.51740531676,66255496.0
Aceites vegetales y grasas comestibles,2014-09-30,22773.5,2014-09,43459.588462873,4.3,89.940203669474,95098188.0
Aceites vegetales y grasas comestibles,2014-10-31,14288.4,2014-10,41541.380137926,4.5,86.17001408185,88686402.0
Aceites vegetales y grasas comestibles,2014-11-30,17703.5,2014-11,41541.380137926,4.5,89.569911320642,268534508.0
Aceites vegetales y grasas comestibles,2014-12-31,53307.0,2014-12,41541.380137926,4.9,87.409392603617,64821279.0
Aceites vegetales y grasas comestibles,2015-01-31,375192.0,2015-01,45575.772450161,5.7,94.0243515223,46212532.0
Aceites vegetales y grasas comestibles,2015-02-28,21865.0,2015-02,45575.772450161,5.5,95.230293056978,44464900.0
Aceites vegetales y grasas comestibles,2015-03-31,29124.0,2015-03,45575.772450161,4.6,99.451060383857,92874189.0
Aceites vegetales y grasas comestibles,2015-04-30,56396.0,2015-04,43392.768614376,4.5,90.483052930854,944706876.0
Aceites vegetales y grasas comestibles,2015-05-31,34003.0,2015-05,43392.768614376,4.4,87.028068930296,57483290.0
Aceites vegetales y grasas comestibles,2015-06-30,65810.7,2015-06,43392.768614376,4.2,97.366059141437,96976300.0
Aceites vegetales y grasas comestibles,2015-07-31,41779.0,2015-07,44343.767069769,4.1,95.069917495666,112915509.0
Aceites vegetales y grasas comestibles,2015-08-31,29114.0,2015-08,44343.767069769,4.0,93.685525534001,79631650.0
Aceites vegetales y grasas comestibles,2015-09-30,67489.0,2015-09,44343.767069769,4.4,92.145962351853,128826321.0
