Año;Sector;Mes;Mecanismo de compra;Monto transado;Monto transado (USD)
2019;Salud;Enero;Todos;2,26717E+11;334854084
2019;Salud;Febrero;Todos;3,29994E+11;502806209
2019;Salud;Marzo;Todos;5,67405E+11;849817933
2019;Salud;Abril;Todos;1,68373E+11;252282046
2019;Salud;Mayo;Todos;1,76332E+11;254813957
2019;Salud;Junio;Todos;2,27252E+11;328205139
2019;Salud;Julio;Todos;2,36579E+11;344837436
2019;Salud;Agosto;Todos;2,01665E+11;282561404
2019;Salud;Septiembre;Todos;1,54707E+11;215336306
2019;Salud;Octubre;Todos;2,65839E+11;368691668
2019;Salud;Noviembre;Todos;2,30806E+11;297227492
2019;Salud;Diciembre;Todos;3,84955E+11;499688461
2019;Otros;Enero;Todos;649033739;958603
2019;Otros;Febrero;Todos;649333642;989378
2019;Otros;Marzo;Todos;995984470;1491712
2019;Otros;Abril;Todos;1373714832;2058311
2019;Otros;Mayo;Todos;912892970;1319202
2019;Otros;Junio;Todos;861134081;1243678
2019;Otros;Julio;Todos;988168037;1440353
2019;Otros;Agosto;Todos;1318823788;1847859
2019;Otros;Septiembre;Todos;992962046;1382104
2019;Otros;Octubre;Todos;722050278;1001411
2019;Otros;Noviembre;Todos;1233202706;1588094
2019;Otros;Diciembre;Todos;875280176;1136151
2019;Obras Públicas;Enero;Todos;39821479627;58815131
2019;Obras Públicas;Febrero;Todos;8197768040;12490799
2019;Obras Públicas;Marzo;Todos;17453581725;26140694
2019;Obras Públicas;Abril;Todos;22346094971;33482359
2019;Obras Públicas;Mayo;Todos;19190992210;27732495
2019;Obras Públicas;Junio;Todos;14479664594;20912010
2019;Obras Públicas;Julio;Todos;17462749760;25453694
2019;Obras Públicas;Agosto;Todos;18634956459;26110227
2019;Obras Públicas;Septiembre;Todos;19034901901;26494687
2019;Obras Públicas;Octubre;Todos;40525314475;56204577
2019;Obras Públicas;Noviembre;Todos;30576215506;39375446
2019;Obras Públicas;Diciembre;Todos;43808985308;56865946
2019;Municipalidades;Enero;Todos;1,92062E+11;283669717
2019;Municipalidades;Febrero;Todos;1,65782E+11;252599813
2019;Municipalidades;Marzo;Todos;1,63525E+11;244915892
2019;Municipalidades;Abril;Todos;1,44064E+11;215858910
2019;Municipalidades;Mayo;Todos;1,36963E+11;197921754
2019;Municipalidades;Junio;Todos;1,47428E+11;212919706
2019;Municipalidades;Julio;Todos;1,70611E+11;248682861
2019;Municipalidades;Agosto;Todos;1,35822E+11;190306530
2019;Municipalidades;Septiembre;Todos;1,48301E+11;206419913
2019;Municipalidades;Octubre;Todos;1,56658E+11;217269669
2019;Municipalidades;Noviembre;Todos;1,63514E+11;210570243
2019;Municipalidades;Diciembre;Todos;2,65013E+11;343997980
2019;Legislativo y Judicial;Enero;Todos;2011564097;2971019
2019;Legislativo y Judicial;Febrero;Todos;24718666817;37663412
2019;Legislativo y Judicial;Marzo;Todos;3081197631;4614791
2019;Legislativo y Judicial;Abril;Todos;3927857032;5885320
2019;Legislativo y Judicial;Mayo;Todos;3649211999;5273398
2019;Legislativo y Judicial;Junio;Todos;6582894142;9507233
2019;Legislativo y Judicial;Julio;Todos;2584490146;3767151
2019;Legislativo y Judicial;Agosto;Todos;3032016383;4248286
2019;Legislativo y Judicial;Septiembre;Todos;4068157479;5662469
2019;Legislativo y Judicial;Octubre;Todos;20373856343;28256510
2019;Legislativo y Judicial;Noviembre;Todos;6218154025;8007615
2019;Legislativo y Judicial;Diciembre;Todos;23400252233;30374533
2019;Gobierno Central, Universidades;Enero;Todos;1,43848E+11;212459424
2019;Gobierno Central, Universidades;Febrero;Todos;3,08453E+11;469985187
2019;Gobierno Central, Universidades;Marzo;Todos;1,33632E+11;200144721
2019;Gobierno Central, Universidades;Abril;Todos;1,4309E+11;214398955
2019;Gobierno Central, Universidades;Mayo;Todos;1,22598E+11;177164222
2019;Gobierno Central, Universidades;Junio;Todos;1,07916E+11;155855543
2019;Gobierno Central, Universidades;Julio;Todos;1,60586E+11;234069629
2019;Gobierno Central, Universidades;Agosto;Todos;1,30097E+11;182284943
2019;Gobierno Central, Universidades;Septiembre;Todos;1,27633E+11;177652861
2019;Gobierno Central, Universidades;Octubre;Todos;1,95678E+11;271385841
2019;Gobierno Central, Universidades;Noviembre;Todos;1,73058E+11;222860563
2019;Gobierno Central, Universidades;Diciembre;Todos;3,64824E+11;473557116
2019;Fuerzas Armadas;Enero;Todos;33320696168;49213668
2019;Fuerzas Armadas;Febrero;Todos;28525028761;43463100
2019;Fuerzas Armadas;Marzo;Todos;33299871460;49874105
2019;Fuerzas Armadas;Abril;Todos;32154077162;48178188
2019;Fuerzas Armadas;Mayo;Todos;33631560188;48600252
2019;Fuerzas Armadas;Junio;Todos;34430501338;49725669
2019;Fuerzas Armadas;Julio;Todos;37481921228;54633626
2019;Fuerzas Armadas;Agosto;Todos;42915799786;60131146
2019;Fuerzas Armadas;Septiembre;Todos;36197796593;50383726
2019;Fuerzas Armadas;Octubre;Todos;53065372515;73596390
2019;Fuerzas Armadas;Noviembre;Todos;47095025780;60648044
2019;Fuerzas Armadas;Diciembre;Todos;51168957153;66419506
2020;Salud;Enero;Todos;3,082E+11;410140657
2020;Salud;Febrero;Todos;2,41832E+11;307319248
2020;Salud;Marzo;Todos;3,6541E+11;435810754
2020;Salud;Abril;Todos;3,60996E+11;423271599
2020;Salud;Mayo;Todos;3,25711E+11;396335479
2020;Salud;Junio;Todos;3,39812E+11;428126348
2020;Salud;Julio;Todos;3,06778E+11;379511464
2020;Salud;Agosto;Todos;2,56901E+11;327402991
2020;Salud;Septiembre;Todos;2,54852E+11;329520902
2020;Salud;Octubre;Todos;3,21366E+11;407226642
2020;Salud;Noviembre;Todos;5,03886E+11;660500749
2020;Salud;Diciembre;Todos;3,46537E+11;471650368
2020;Otros;Enero;Todos;4042208135;5379211
2020;Otros;Febrero;Todos;376124172;477977
2020;Otros;Marzo;Todos;511557436;610115
2020;Otros;Abril;Todos;533766919;625847
2020;Otros;Mayo;Todos;627914848;764067
2020;Otros;Junio;Todos;766248046;965390
2020;Otros;Julio;Todos;1402639894;1735188
2020;Otros;Agosto;Todos;1181853406;1506194
2020;Otros;Septiembre;Todos;919881837;1189396
2020;Otros;Octubre;Todos;1347086744;1706992
2020;Otros;Noviembre;Todos;2510575740;3290897
2020;Otros;Diciembre;Todos;5235817826;7126150
2020;Obras Públicas;Enero;Todos;21386226017;28459945
2020;Obras Públicas;Febrero;Todos;36663660630;46592054
2020;Obras Públicas;Marzo;Todos;18109063914;21598005
2020;Obras Públicas;Abril;Todos;17409790861;20413160
2020;Obras Públicas;Mayo;Todos;11757028371;14306343
2020;Obras Públicas;Junio;Todos;11219873950;14135842
2020;Obras Públicas;Julio;Todos;18523514241;22915215
2020;Obras Públicas;Agosto;Todos;19456096932;24795516
2020;Obras Públicas;Septiembre;Todos;34137953101;44139963
2020;Obras Públicas;Octubre;Todos;35177260152;44575687
2020;Obras Públicas;Noviembre;Todos;72906731390;95567161
2020;Obras Públicas;Diciembre;Todos;50141106063;68243982
2020;Municipalidades;Enero;Todos;2,36447E+11;314654220
2020;Municipalidades;Febrero;Todos;1,8521E+11;235363867
2020;Municipalidades;Marzo;Todos;1,99671E+11;238140671
2020;Municipalidades;Abril;Todos;1,81189E+11;212445446
2020;Municipalidades;Mayo;Todos;1,33333E+11;162244211
2020;Municipalidades;Junio;Todos;1,53911E+11;193911004
2020;Municipalidades;Julio;Todos;1,6981E+11;210069463
2020;Municipalidades;Agosto;Todos;1,54045E+11;196320020
2020;Municipalidades;Septiembre;Todos;1,48267E+11;191707117
2020;Municipalidades;Octubre;Todos;1,51317E+11;191744244
2020;Municipalidades;Noviembre;Todos;1,66814E+11;218662092
2020;Municipalidades;Diciembre;Todos;2,56429E+11;349010286
2020;Legislativo y Judicial;Enero;Todos;5811070380;7733143
2020;Legislativo y Judicial;Febrero;Todos;3833036793;4871010
2020;Legislativo y Judicial;Marzo;Todos;2558823375;3051813
2020;Legislativo y Judicial;Abril;Todos;2121605397;2487604
