,Año,Mes_Numero,Monto transado
0,2019,1,5.626277580277363e+16
1,2019,2,8.042296209079726e+16
2,2019,3,8.64562548306353e+16
3,2019,4,3.2674659801744e+16
4,2019,5,4.358935738465737e+16
5,2019,6,4.825965635419416e+16
6,2019,7,5.677765851732917e+16
7,2019,8,4.675846590159642e+16
8,2019,9,4.3064160293818024e+16
9,2019,10,6.181761468659361e+16
10,2019,11,5.673788512259802e+16
11,2019,12,1.0147931925347488e+17
12,2020,1,4.239047372820585e+16
13,2020,2,2.6035483243866884e+16
14,2020,3,4.13989618158941e+16
15,2020,4,6.714306213351535e+16
16,2020,5,6.089084721657679e+16
17,2020,6,6.229724110703065e+16
18,2020,7,5.724145693944778e+16
19,2020,8,5.492335137333603e+16
20,2020,9,5.810447305972154e+16
21,2020,10,6.568557289619432e+16
22,2020,11,6.907191575830378e+16
23,2020,12,8.135710676839774e+16
24,2021,1,5.8306215722067576e+16
25,2021,2,4.737745248340978e+16
26,2021,3,6.5041018244412456e+16
27,2021,4,8.10163799250581e+16
28,2021,5,9.030006696518254e+16
29,2021,6,6.2093692516314184e+16
30,2021,7,5.846637745419914e+16
31,2021,8,5.747360994583524e+16
32,2021,9,5.560883012380142e+16
33,2021,10,5.440438943504646e+16
34,2021,11,5.715908266480778e+16
35,2021,12,9.45905270076164e+16
36,2022,1,6.475038349323788e+16
37,2022,2,6.372417611210253e+16
38,2022,3,1.0715638587313384e+17
39,2022,4,1.6280489428234445e+17
40,2022,5,7.301808253042245e+16
41,2022,6,6.7775014070013864e+16
42,2022,7,2.479960239390605e+16
43,2022,8,6.567811344021302e+16
44,2022,9,3.02469192092698e+16
45,2022,10,7.561075792280882e+16
46,2022,11,7.501918242457835e+16
47,2022,12,1.3265821784605675e+17
48,2023,1,9.175543499341406e+16
49,2023,2,8.070498481348746e+16
50,2023,3,7.381932244390485e+16
51,2023,4,8.053262935948915e+16
