,Mes,Promedio gasto acumulado,Promedio Monto transado
0,1,7.265183733537456,74101230232.42857
1,2,16.13289302037573,86238652626.14285
2,3,23.643379705985073,76942663328.85715
3,4,32.27912228412028,87045733434.71428
4,5,40.47973020133003,68314950911.5
5,6,47.48355907484774,68475691167.666664
6,7,54.62954843284339,70917188778.5
7,8,62.06293413009384,72453531549.83333
8,9,70.99354408847651,88614538174.83333
9,10,79.98390402469562,86943581335.83333
10,11,89.20501130019132,88164694666.83333
11,12,100.0,104604540114.66667
